"Theme 2 - 1 : Persons usually resident and present in the State on Census Night, classified by place of birth, 2006";;;;;;;
"Cork City 17/028";687;47;9;0;11;28;782
"Cork City 17/029";684;42;13;1;13;22;775
"Cork City 17/030";1076;61;13;2;17;21;1190
"Cork City 17/031";951;72;29;2;29;69;1152
"Cork City 17/032";891;41;10;1;18;35;996
"Cork City 17/033";835;27;11;0;14;24;911
"Cork City 17/034";661;53;15;0;34;30;793
"Cork City 17/035";494;49;34;3;51;39;670
"Cork City 17/036";695;28;10;0;11;49;793
"Cork City 17/037";909;63;38;10;55;61;1136
"Cork City 17/038";579;21;22;6;20;25;673
"Cork City 17/039";620;17;3;4;3;15;662
"Cork City 17/040";481;30;31;4;40;36;622
"Cork City 17/041";502;34;64;11;55;37;703
"Cork City 17/042";615;12;6;5;8;9;655
"Cork City 17/043";669;19;4;0;4;3;699
"Cork City 17/044";1047;25;5;0;0;12;1089
"Cork City 17/045";785;23;0;0;6;6;820
"Cork City 17/046";726;23;20;1;12;12;794
"Cork City 17/047";881;38;12;1;15;17;964
"Cork City 17/048";797;34;33;0;25;26;915
"Cork City 17/049";635;32;25;1;33;40;766
"Cork City 17/050";683;14;0;0;3;11;711
"Cork City 17/051";614;18;18;6;4;11;671
"Cork City 17/052";638;29;32;1;5;21;726
"Cork City 17/053";595;24;16;0;15;27;677
"Cork City 17/054";649;24;7;2;17;35;734
"Cork City 17/055";451;17;7;0;8;19;502
"Cork City 17/056,17/007";1315;66;9;6;21;99;1516
"Cork City 17/057";1161;33;23;4;6;32;1259
"Cork City 17/058";970;44;3;0;15;39;1071
"Cork City 17/059";688;32;13;0;12;46;791
"Cork City 17/060";849;32;17;0;15;18;931
"Cork City 17/061";945;55;27;0;5;4;1036
"Cork City 17/062";814;24;13;0;35;32;918
"Cork City 17/063";1070;54;9;0;7;24;1164
"Cork City 17/064";667;36;8;0;15;26;752
"Cork City 17/065";354;27;28;3;31;71;514
"Cork City 17/066";928;49;16;3;42;61;1099
"Cork City 17/067";512;45;8;1;34;61;661
"Cork City 17/068";453;38;24;14;43;58;630
"Cork City 17/069";412;84;71;10;158;140;875
"Cork City 17/070";438;38;65;8;124;96;769
"Cork City 17/071";496;45;60;5;107;121;834
"Cork City 17/072";338;37;18;5;37;54;489
"Cork City 17/073";663;66;23;4;20;29;805
"Cork City 17/074";624;50;19;0;59;47;799
"Cork City 17/075";903;38;9;4;1;9;964
"Cork City 17/076";1175;47;17;0;4;9;1252
"Cork City 17/077";1057;28;1;0;0;0;1086
"Cork City 17/078";1024;28;0;0;0;1;1053
"Cork City 17/079";1122;31;0;0;1;1;1155
"Cork City 17/080";797;19;0;0;1;4;821
"Cork City 17/081";953;12;3;0;0;10;978
"Cork City 17/082";913;23;2;0;3;3;944
"Cork City 17/083";743;25;8;0;7;4;787
"Cork City 17/084";639;28;15;1;10;16;709
"Cork City 17/085";711;19;18;6;14;18;786
"Cork City 17/086";788;15;7;0;1;4;815
"Cork City 17/087";812;21;0;4;11;3;851
"Cork City 17/088";801;16;1;0;3;8;829
"Cork City 17/089";668;20;9;0;3;7;707
"Cork City 17/090";890;17;8;0;0;5;920
"Cork City 17/091";676;21;42;5;32;14;790
"Cork City 17/092";541;19;45;5;43;48;701
"Cork City 17/093";649;52;73;0;109;65;948
"Cork City 17/094";465;14;23;4;28;32;566
"Cork City 17/095";626;36;39;14;36;58;809
"Cork City 17/096";399;28;73;14;124;67;705
"Cork City 17/097";387;40;68;8;66;92;661
"Cork City 17/098";597;49;25;12;38;69;790
"Cork City 17/099";592;48;54;3;45;54;796
"Cork City 17/100";188;26;57;2;49;64;386
"Cork City 17/101";468;29;18;2;20;20;557
"Cork City 17/102";582;41;29;0;35;17;704
"Cork City 17/103";594;35;14;2;30;33;708
"Cork City 17/104";399;41;56;9;69;53;627
"Cork City 17/105";1394;60;24;1;19;33;1531
"Cork City 17/106";1010;34;0;3;10;14;1071
"Cork City 17/107";954;33;7;0;23;36;1053
"Cork City 17/108";889;33;6;0;15;27;970
"Cork City 17/109";819;51;22;0;5;21;918
"Cork City 17/110";673;45;4;0;2;5;729
"Cork City 17/111";1111;72;0;0;1;13;1197
"Cork City 17/112";902;44;5;0;10;13;974
"Cork City 17/113";913;52;5;2;16;16;1004
"Cork City 17/114";945;50;7;0;4;7;1013
"Cork City 17/115";1093;28;16;9;11;19;1176
"Cork City 17/116";1124;45;5;4;5;31;1214
"Cork City 17/117";988;23;9;0;1;3;1024
"Cork City 17/118";662;50;45;6;33;22;818
"Cork City 17/119";658;19;36;9;9;78;809
"Cork City 17/120";798;18;2;0;0;2;820
"Cork City 17/121";981;34;0;0;4;2;1021
"Cork City 17/122";996;29;11;2;21;14;1073
"Cork City 17/123";514;17;55;5;24;81;696
"Cork City 17/125";891;33;5;0;15;32;976
"Cork City 17/126";691;22;1;0;11;17;742
"Cork City 17/127";1085;50;5;3;20;66;1229
"Cork City 17/128";456;25;73;1;90;69;714
"Cork City 17/129";646;51;14;1;15;37;764
"Cork City 17/130";950;32;25;6;4;14;1031
"Cork City 17/131";527;52;11;5;41;36;672
"Cork City 17/132";450;26;33;17;44;79;649
"Cork City 17/133";545;33;36;4;64;27;709
"Cork City 17/134";457;31;147;3;155;84;877
"Cork City 17/135";508;29;11;0;41;92;681
"Cork Suburbs 18 ";55969;2959;1448;387;1015;2984;64762
"Cork Suburbs 18/184";909;47;1;0;5;18;980
"Cork Suburbs 18/185";801;59;9;11;21;59;960
"Cork Suburbs 18/186";948;54;48;20;14;38;1122
"Cork Suburbs 18/187";961;59;13;5;7;37;1082
"Cork Suburbs 18/188";874;59;45;7;20;64;1069
"Cork Suburbs 18/189";933;82;21;7;25;36;1104
"Cork Suburbs 18/190";1108;85;6;2;6;41;1248
"Cork Suburbs 18/191";1030;73;33;10;57;88;1291
"Cork Suburbs 18/192";778;53;13;0;19;37;900
"Cork Suburbs 18/193";999;59;22;10;8;28;1126
"Cork Suburbs 18/194";1028;60;24;7;15;34;1168
"Cork Suburbs 18/196";772;49;32;16;22;77;968
"Cork Suburbs 18/197";1064;47;9;3;7;29;1159
"Cork Suburbs 18/198";966;37;38;0;16;33;1090
"Cork Suburbs 18/199";714;32;9;6;20;41;822
"Cork Suburbs 18/200";604;46;17;8;28;71;774
"Cork Suburbs 18/201";1088;42;6;5;11;24;1176
"Cork Suburbs 18/202";972;54;8;0;15;22;1071
"Cork Suburbs 18/203";1225;70;11;3;8;40;1357
"Cork Suburbs 18/204";980;50;14;5;23;51;1123
"Cork Suburbs 18/205";1018;62;7;2;25;32;1146
"Cork Suburbs 18/206";926;30;0;0;7;25;988
"Cork Suburbs 18/207";859;35;46;7;17;67;1031
"Cork Suburbs 18/208";592;25;53;16;33;119;838
"Cork Suburbs 18/210";918;30;13;0;12;22;995
"Cork Suburbs 18/211";889;46;35;19;24;45;1058
"Cork Suburbs 18/212";1021;47;15;5;20;30;1138
"Cork Suburbs 18/213";909;33;32;6;15;74;1069
"Cork Suburbs 18/214";911;58;45;6;23;69;1112
"Cork Suburbs 18/215";950;37;50;3;32;215;1287
"Cork Suburbs 18/220";918;47;109;6;20;100;1200
"Cork Suburbs 18/222";1061;51;26;1;7;22;1168
"Cork Suburbs 18/223";1176;65;20;15;5;61;1342
"Cork Suburbs 18/225";743;37;21;3;10;18;832
"Cork Suburbs 18/226";1133;36;4;5;3;15;1196
"Cork Suburbs 18/227";1159;58;13;0;7;19;1256
"Cork Suburbs 18/228";1092;39;7;7;7;13;1165
"Cork Suburbs 18/229";1047;42;8;1;3;12;1113
"Cork Suburbs 18/230";1150;43;7;0;16;32;1248
"Cork Suburbs 18/296";943;41;4;1;15;39;1043
"Cork Suburbs 18/297";903;60;27;20;22;61;1093
"Cork Suburbs 18/298";864;36;22;10;15;43;990
"Cork Suburbs 18/299";1139;50;7;0;12;60;1268
"Cork Suburbs 18/300";892;62;18;0;13;79;1064
"Cork Suburbs 18/301";740;41;30;14;21;99;945
"Cork Suburbs 18/303";1143;62;24;0;5;21;1255
"Cork Suburbs 18/304";1028;51;24;10;17;56;1186
"Cork Suburbs 18/306";1043;53;16;1;12;19;1144
"Cork Suburbs 18/308";1219;46;15;6;12;24;1322
"Cork Suburbs 18/316";854;54;10;5;4;22;949
"Cork Suburbs 18/317";618;19;79;5;21;67;809
"Cork Suburbs 18/322";967;60;25;3;13;52;1120
"Cork Suburbs 18/339";748;37;41;4;25;54;909
"Cork Suburbs 18/340";402;30;61;9;39;111;652
"Cork Suburbs 18/341";614;42;48;32;26;67;829
"Cork Suburbs 18/343";577;39;28;11;19;32;706
"Cork Suburbs 18/344";604;41;28;19;22;60;774
"Cork Suburbs 18/345";962;71;17;0;28;65;1143
"Cork Suburbs 18/346";432;41;15;3;28;54;573
"Cork Suburbs 18/347";878;43;18;3;9;28;979
"Cork Suburbs 18/348";1173;42;1;4;4;13;1237
"Limerick City and Suburbs  ";73048;3655;2582;439;2055;3952;85731
"Limerick City 20 ";44824;2030;1569;236;1256;1971;51886
"Limerick City 20/001";920;84;7;4;26;51;1092
"Limerick City 20/002";769;41;0;0;16;16;842
"Limerick City 20/003";922;29;4;4;8;14;981
"Limerick City 20/004";675;36;60;11;81;41;904
"Limerick City 20/005";412;12;91;18;74;117;724
"Limerick City 20/006";957;52;23;1;29;26;1088
"Limerick City 20/007";699;28;4;0;7;15;753
"Limerick City 20/008";848;48;5;0;9;21;931
"Limerick City 20/009";911;38;10;1;3;12;975
"Limerick City 20/010";737;25;0;0;15;5;782
"Limerick City 20/011";759;31;0;2;8;8;808
"Limerick City 20/013, 20/012";1372;59;187;24;85;116;1843
"Limerick City 20/014";643;38;55;9;47;66;858
"Limerick City 20/015";688;23;0;0;1;6;718
"Limerick City 20/016";884;26;0;0;3;4;917
"Limerick City 20/017";524;41;0;0;0;1;566
"Limerick City 20/018";728;42;4;5;4;3;786
"Limerick City 20/019";547;40;1;0;0;4;592
"Limerick City 20/020";923;31;0;0;1;0;955
"Limerick City 20/021";704;23;0;0;2;7;736
"Limerick City 20/022";749;24;0;0;0;0;773
"Limerick City 20/023";839;14;5;0;1;3;862
"Limerick City 20/024";491;16;3;0;10;32;552
"Limerick City 20/025";527;22;116;13;59;98;835
"Limerick City 20/026";737;32;20;2;18;41;850
"Limerick City 20/027";872;24;0;0;1;6;903
"Limerick City 20/028";818;25;1;0;2;15;861
"Limerick City 20/029";699;53;31;6;21;15;825
"Limerick City 20/030";854;19;4;1;15;15;908
"Limerick City 20/031";939;36;14;1;24;120;1134
"Limerick City 20/032";216;26;85;18;46;97;488
"Limerick City 20/033";260;22;42;3;30;56;413
"Limerick City 20/034";807;36;28;13;33;43;960
"Limerick City 20/035";996;54;19;1;12;31;1113
"Limerick City 20/036, 20/037";1684;64;17;4;21;41;1831
"Limerick City 20/038";911;37;5;1;8;19;981
"Limerick City 20/039";1006;45;11;0;20;22;1104
"Limerick City 20/040";755;37;28;3;21;50;894
"Limerick City 20/041, 20/042";1446;47;8;2;39;27;1569
"Limerick City 20/043";852;31;0;0;0;12;895
"Limerick City 20/044";810;27;0;0;2;5;844
"Limerick City 20/045";837;41;11;0;2;11;902
"Limerick City 20/046";837;47;0;0;1;7;892
"Limerick City 20/047";748;57;5;0;2;4;816
"Limerick City 20/048";935;27;0;0;1;3;966
"Limerick City 20/049";861;30;0;0;2;8;901
"Limerick City 20/050";625;22;84;11;43;35;820
"Limerick City 20/051";667;36;31;5;10;62;811
"Limerick City 20/052";894;61;19;2;52;47;1075
"Limerick City 20/053";1069;45;4;0;8;30;1156
"Limerick City 20/054";1196;53;5;2;11;15;1282
"Limerick City 20/055";816;31;35;0;31;27;940
"Limerick City 20/056";412;31;34;8;54;145;684
"Limerick City 20/057";770;24;37;2;9;14;856
"Limerick City 20/058";262;25;289;38;167;196;977
"Limerick City 20/059";788;49;5;0;13;17;872
"Limerick City 20/060";217;13;122;21;48;69;490
"Limerick Suburbs 21 ";28224;1625;1013;203;799;1981;33845
"Limerick Suburbs 21/080";860;67;1;0;2;6;936
"Limerick Suburbs 21/081";970;40;6;1;9;13;1039
"Limerick Suburbs 21/082";944;62;0;1;7;31;1045
"Limerick Suburbs 21/083";781;47;13;8;6;39;894
"Limerick Suburbs 21/084";717;38;8;2;17;28;810
"Limerick Suburbs 21/086";706;25;43;4;16;60;854
"Limerick Suburbs 21/087";1088;56;22;6;10;65;1247
"Limerick Suburbs 21/088";870;65;28;15;32;64;1074
"Limerick Suburbs 21/089";1011;69;19;2;22;49;1172
"Limerick Suburbs 21/090";928;44;35;14;15;54;1090
"Limerick Suburbs 21/091";774;40;47;17;32;82;992
"Limerick Suburbs 21/092";661;63;47;2;19;98;890
"Limerick Suburbs 21/093";780;45;42;9;14;38;928
"Limerick Suburbs 21/097";1120;61;26;3;13;41;1264
"Limerick Suburbs 21/098";1115;66;6;0;16;49;1252
"Limerick Suburbs 21/099";844;31;25;1;22;40;963
"Limerick Suburbs 21/113";781;56;27;18;36;84;1002
"Limerick Suburbs 21/114";582;19;34;7;33;34;709
"Limerick Suburbs 21/115";1100;35;27;0;31;53;1246
"Limerick Suburbs 21/117";780;40;68;5;35;67;995
"Limerick Suburbs 21/119";752;47;59;19;33;161;1071
"Limerick Suburbs 21/120";725;52;13;1;22;76;889
"Limerick Suburbs 21/123";622;40;13;2;4;14;695
"Limerick Suburbs 21/124";655;28;26;2;11;20;742
"Limerick Suburbs 21/125";735;33;37;5;30;56;896
"Limerick Suburbs 21/126";584;37;137;11;55;231;1055
"Limerick Suburbs 21/127";710;39;19;14;30;51;863
"Limerick Suburbs 21/128";500;33;3;0;4;40;580
"Limerick Suburbs 21/129";706;50;62;18;33;74;943
"Limerick Suburbs 21/130";454;44;4;2;8;31;543
"Limerick Suburbs 21/131";733;31;76;6;53;72;971
"Limerick Suburbs 21/132";392;30;16;5;32;32;507
"Limerick Suburbs 21/133";289;15;14;2;15;32;367
"Limerick Suburbs in Clare 16/066";508;28;0;0;5;8;549
"Limerick Suburbs in Clare 16/068";880;61;1;0;29;27;998
"Limerick Suburbs in Clare 16/100";602;32;9;1;30;35;709
"Limerick Suburbs in Clare 16/113";965;56;0;0;18;26;1065
"Waterford City and Suburbs  ";41598;2475;699;194;931;2111;48008
"Waterford City 24 ";39075;2299;661;184;872;2018;45109
"Waterford City 24/001";860;37;8;0;12;18;935
"Waterford City 24/002";933;26;9;0;1;19;988
"Waterford City 24/003";914;27;0;2;4;7;954
"Waterford City 24/005";1008;63;4;1;1;21;1098
"Waterford City 24/006, 24/004";2078;123;42;5;18;88;2354
"Waterford City 24/007";627;21;20;14;18;15;715
"Waterford City 24/008";1164;70;4;2;9;45;1294
"Waterford City 24/009";1019;79;10;6;19;64;1197
"Waterford City 24/010";857;86;2;0;4;28;977
"Waterford City 24/011";901;40;5;4;17;84;1051
"Waterford City 24/012";1023;64;5;0;9;15;1116
"Waterford City 24/013";954;72;4;4;8;34;1076
"Waterford City 24/014";958;68;9;2;13;44;1094
"Waterford City 24/015";677;26;7;0;26;11;747
"Waterford City 24/016";577;36;56;13;30;54;766
"Waterford City 24/018, 24/017";1160;98;111;31;125;170;1695
"Waterford City 24/019";742;30;7;0;0;3;782
"Waterford City 24/020";979;37;12;0;3;4;1035
"Waterford City 24/021";969;39;7;1;7;4;1027
"Waterford City 24/022";976;56;14;6;9;16;1077
"Waterford City 24/023";828;32;5;1;12;14;892
"Waterford City 24/024";714;31;5;0;13;20;783
"Waterford City 24/025";301;25;14;6;44;126;516
"Waterford City 24/026";586;22;20;6;26;49;709
"Waterford City 24/027";512;39;33;4;24;33;645
"Waterford City 24/029, 24/028";1779;86;46;6;44;60;2021
"Waterford City 24/030";929;51;0;0;10;21;1011
"Waterford City 24/031";895;74;1;3;25;42;1040
"Waterford City 24/032";697;44;2;5;31;50;829
"Waterford City 24/033";790;61;6;3;43;84;987
"Waterford City 24/034";638;56;5;1;7;39;746
"Waterford City 24/035";911;105;5;5;12;71;1109
"Waterford City 24/036";769;23;0;4;3;5;804
"Waterford City 24/037";893;61;9;3;32;70;1068
"Waterford City 24/038";580;55;28;10;37;122;832
"Waterford City 24/039";879;41;13;0;29;133;1095
"Waterford City 24/040";846;35;10;1;7;10;909
"Waterford City 24/041";781;23;0;0;8;17;829
"Waterford City 24/042";731;27;22;0;23;13;816
"Waterford City 24/043";508;33;8;2;5;20;576
"Waterford City 24/044";657;28;3;11;17;27;743
"Waterford City 24/045";827;41;5;0;2;15;890
"Waterford City 24/046";596;26;25;11;11;43;712
"Waterford City 24/047";385;32;57;6;57;89;626
"Waterford City 24/048";808;93;0;3;11;76;991
"Waterford City 24/049";859;57;3;2;6;25;952
"Waterford Suburbs 07 ";2523;176;38;10;59;93;2899
"Waterford Suburbs in Kilkenny 07/048";1056;87;5;7;17;32;1204
"Waterford Suburbs in Kilkenny 07/086";699;52;26;0;28;42;847
"Waterford Suburbs in Kilkenny 07/087";768;37;7;3;14;19;848
"Galway City and Suburbs  ";54688;4541;2522;544;2529;4983;69807
"Galway City 26 ";54688;4541;2522;544;2529;4983;69807
"Galway City 26/001";1118;90;28;4;16;33;1289
"Galway City 26/002";1078;113;49;3;12;68;1323
"Galway City 26/003";769;59;31;9;29;39;936
"Galway City 26/004";794;58;114;28;35;56;1085
"Galway City 26/005";1113;85;0;12;12;65;1287
"Galway City 26/006";660;58;105;55;94;123;1095
"Galway City 26/007";661;44;78;24;59;78;944
"Galway City 26/008";564;52;52;6;48;32;754
"Galway City 26/009";934;42;47;16;33;55;1127
"Galway City 26/010, 26/013";1493;91;113;24;64;69;1854
"Galway City 26/011";571;35;17;2;6;14;645
"Galway City 26/012";739;49;40;1;22;26;877
"Galway City 26/014";681;63;67;13;17;58;899
"Galway City 26/015";701;65;18;4;10;31;829
"Galway City 26/016";857;67;23;0;11;29;987
"Galway City 26/017";932;52;25;0;52;34;1095
"Galway City 26/018";708;67;63;2;121;127;1088
"Galway City 26/019";650;60;30;3;48;22;813
"Galway City 26/020";650;46;28;2;58;48;832
"Galway City 26/021";619;56;40;2;69;80;866
"Galway City 26/022";728;56;18;0;36;31;869
"Galway City 26/023";546;32;12;0;40;33;663
"Galway City 26/024";611;50;6;0;10;13;690
"Galway City 26/025";699;30;24;0;27;44;824
"Galway City 26/026";550;49;8;2;54;43;706
"Galway City 26/027";566;40;35;9;60;48;758
"Galway City 26/028";701;55;9;0;15;50;830
"Galway City 26/029";530;47;62;6;25;84;754
"Galway City 26/030";726;32;6;3;15;35;817
"Galway City 26/031";1102;64;32;2;18;53;1271
"Galway City 26/032";766;45;6;0;6;13;836
"Galway City 26/033";777;49;12;1;11;56;906
"Galway City 26/034";764;53;6;3;20;36;882
"Galway City 26/035";774;45;32;0;37;68;956
"Galway City 26/036";744;67;28;0;23;31;893
"Galway City 26/037";717;80;31;0;16;56;900
"Galway City 26/038";723;97;13;2;26;54;915
"Galway City 26/040";854;63;18;9;38;45;1027
"Galway City 26/041, 26/039";1280;90;55;3;57;86;1571
"Galway City 26/042";444;44;51;5;63;184;791
"Galway City 26/043";776;72;81;8;66;99;1102
"Galway City 26/044";934;62;14;4;27;83;1124
"Galway City 26/045";817;100;11;4;34;86;1052
"Galway City 26/046";751;64;10;6;24;69;924
"Galway City 26/047";722;121;2;12;30;63;950
"Galway City 26/048";844;68;1;6;9;50;978
"Galway City 26/049";740;67;53;5;17;103;985
"Galway City 26/050";847;101;76;13;55;85;1177
"Galway City 26/051";832;100;31;2;67;154;1186
"Galway City 26/052, 26/065";892;57;43;4;40;60;1096
"Galway City 26/053";694;71;59;4;53;111;992
"Galway City 26/054";738;44;25;1;11;60;879
"Galway City 26/055";690;91;13;21;55;136;1006
"Galway City 26/056";596;54;42;20;68;124;904
"Galway City 26/057";857;69;4;0;13;49;992
"Galway City 26/058";653;67;16;0;14;60;810
"Galway City 26/059";729;59;1;0;11;12;812
"Galway City 26/060";667;32;38;12;51;80;880
"Galway City 26/061";1122;53;23;0;6;33;1237
"Galway City 26/062";733;76;10;8;45;91;963
"Galway City 26/063";602;81;123;19;26;72;923
"Galway City 26/064";691;44;14;11;13;63;836
"Galway City 26/066";866;60;28;2;33;46;1035
"Galway City 26/067";481;43;26;4;47;75;676
"Galway City 26/068";507;70;55;23;72;77;804
"Galway City 26/069";449;48;6;2;16;54;575
"Galway City 26/070";845;82;16;2;27;95;1067
"Galway City 26/071";658;91;8;0;33;82;872
"Galway City 26/072";717;72;11;19;18;109;946
"Galway City 26/073";470;33;100;25;31;219;878
"Galway City 26/074";535;51;103;15;48;132;884
"Galway City 26/075";545;37;31;28;32;118;791
"Galway City 26/076";794;61;16;9;24;83;987
