"Theme 2 - 5 : Number of persons by religion, 2006";;;;;
"Dœn Laoghaire-Rathdown 05/112";957;92;61;5;1115
"Dœn Laoghaire-Rathdown 05/113";982;102;67;6;1157
"Dœn Laoghaire-Rathdown 05/114";974;95;73;6;1148
"Dœn Laoghaire-Rathdown 05/115";897;159;85;10;1151
"Dœn Laoghaire-Rathdown 05/116";957;158;34;7;1156
"Dœn Laoghaire-Rathdown 05/117";977;142;59;14;1192
"Dœn Laoghaire-Rathdown 05/118";1589;175;104;28;1896
"Dœn Laoghaire-Rathdown 05/119";926;125;82;17;1150
"Dœn Laoghaire-Rathdown 05/121";929;156;73;23;1181
"Dœn Laoghaire-Rathdown 05/122";1098;168;55;15;1336
"Dœn Laoghaire-Rathdown 05/123";833;113;92;6;1044
"Dœn Laoghaire-Rathdown 05/126";772;145;57;7;981
"Dœn Laoghaire-Rathdown 05/127";995;113;68;7;1183
"Dœn Laoghaire-Rathdown 05/128";764;100;53;6;923
"Dœn Laoghaire-Rathdown 05/129";774;97;48;6;925
"Dœn Laoghaire-Rathdown 05/130";592;134;84;4;814
"Dœn Laoghaire-Rathdown 05/131";829;139;72;4;1044
"Dœn Laoghaire-Rathdown 05/132";848;302;70;7;1227
"Dœn Laoghaire-Rathdown 05/133";655;101;47;5;808
"Dœn Laoghaire-Rathdown 05/134";729;122;53;7;911
"Dœn Laoghaire-Rathdown 05/135";760;128;70;6;964
"Dœn Laoghaire-Rathdown 05/136";784;128;48;12;972
"Dœn Laoghaire-Rathdown 05/137";891;131;55;5;1082
"Dœn Laoghaire-Rathdown 05/138";794;73;53;8;928
"Dœn Laoghaire-Rathdown 05/139";833;70;51;8;962
"Dœn Laoghaire-Rathdown 05/140";813;78;58;11;960
"Dœn Laoghaire-Rathdown 05/141";847;58;52;6;963
"Dœn Laoghaire-Rathdown 05/142";781;48;54;4;887
"Dœn Laoghaire-Rathdown 05/143";772;84;39;8;903
"Dœn Laoghaire-Rathdown 05/144";693;177;74;8;952
"Dœn Laoghaire-Rathdown 05/145";778;72;63;18;931
"Dœn Laoghaire-Rathdown 05/146";785;123;47;4;959
"Dœn Laoghaire-Rathdown 05/147";803;84;63;18;968
"Dœn Laoghaire-Rathdown 05/148";850;40;58;12;960
"Dœn Laoghaire-Rathdown 05/149";603;24;45;4;676
"Dœn Laoghaire-Rathdown 05/150";807;136;59;10;1012
"Dœn Laoghaire-Rathdown 05/151";738;76;51;7;872
"Dœn Laoghaire-Rathdown 05/152";972;92;38;10;1112
"Dœn Laoghaire-Rathdown 05/153";704;128;64;21;917
"Dœn Laoghaire-Rathdown 05/154";820;133;53;3;1009
"Dœn Laoghaire-Rathdown 05/155";675;151;88;66;980
"Dœn Laoghaire-Rathdown 05/156";715;94;78;4;891
"Dœn Laoghaire-Rathdown 05/157";695;68;69;11;843
"Dœn Laoghaire-Rathdown 05/158";516;49;71;4;640
"Dœn Laoghaire-Rathdown 05/159";596;155;97;13;861
"Dœn Laoghaire-Rathdown 05/160";789;66;71;16;942
"Dœn Laoghaire-Rathdown 05/161";677;87;64;7;835
"Dœn Laoghaire-Rathdown 05/162";754;87;67;11;919
"Dœn Laoghaire-Rathdown 05/163";872;127;94;12;1105
"Dœn Laoghaire-Rathdown 05/164";636;126;71;15;848
"Dœn Laoghaire-Rathdown 05/165";577;95;56;8;736
"Dœn Laoghaire-Rathdown 05/166";744;161;93;8;1006
"Dœn Laoghaire-Rathdown 05/167";716;130;58;5;909
"Dœn Laoghaire-Rathdown 05/168";769;183;65;4;1021
"Dœn Laoghaire-Rathdown 05/169";761;84;36;3;884
"Dœn Laoghaire-Rathdown 05/170";645;53;39;17;754
"Dœn Laoghaire-Rathdown 05/173";896;104;51;3;1054
"Dœn Laoghaire-Rathdown 05/174";891;121;82;6;1100
"Dœn Laoghaire-Rathdown 05/175";588;171;89;5;853
"Dœn Laoghaire-Rathdown 05/176";787;116;44;1;948
"Dœn Laoghaire-Rathdown 05/177, 05/178";1616;231;190;16;2053
"Dœn Laoghaire-Rathdown 05/179";759;104;70;9;942
"Dœn Laoghaire-Rathdown 05/180";593;121;89;63;866
"Dœn Laoghaire-Rathdown 05/181";251;30;20;1;302
"Dœn Laoghaire-Rathdown 05/182";526;95;59;8;688
"Dœn Laoghaire-Rathdown 05/184";813;169;90;3;1075
"Dœn Laoghaire-Rathdown 05/185";949;114;82;13;1158
"Dœn Laoghaire-Rathdown 05/186";849;86;57;12;1004
"Dœn Laoghaire-Rathdown 05/187";796;63;39;12;910
"Dœn Laoghaire-Rathdown 05/188";805;122;83;12;1022
"Dœn Laoghaire-Rathdown 05/189";954;163;48;6;1171
"Dœn Laoghaire-Rathdown 05/190";905;130;84;10;1129
"Dœn Laoghaire-Rathdown 05/191";1025;179;50;14;1268
"Dœn Laoghaire-Rathdown 05/192";733;84;63;2;882
"Dœn Laoghaire-Rathdown 05/193";526;98;40;1;665
"Dœn Laoghaire-Rathdown 05/194";751;112;52;5;920
"Dœn Laoghaire-Rathdown 05/196";342;52;39;4;437
"Dœn Laoghaire-Rathdown 05/197";378;116;78;5;577
"Dœn Laoghaire-Rathdown 05/198";825;111;89;14;1039
"Dœn Laoghaire-Rathdown 05/200";349;61;39;5;454
"Dœn Laoghaire-Rathdown 05/201";573;119;56;9;757
"Dœn Laoghaire-Rathdown 05/202";473;97;70;9;649
"Dœn Laoghaire-Rathdown 05/203";559;115;42;4;720
"Dœn Laoghaire-Rathdown 05/204";835;112;56;27;1030
"Dœn Laoghaire-Rathdown 05/205";631;103;47;38;819
"Cork City and Suburbs  ";161664;10277;9389;3729;185059
"Cork City 17 ";103533;6125;6880;2880;119418
"Cork City 17/001";722;18;38;3;781
"Cork City 17/002";722;28;22;3;775
"Cork City 17/003";720;53;24;1;798
"Cork City 17/004";617;108;50;10;785
"Cork City 17/005";817;58;46;5;926
"Cork City 17/006, 17/008";1620;63;28;85;1796
"Cork City 17/009";968;14;15;25;1022
"Cork City 17/010";801;16;20;6;843
"Cork City 17/011";822;21;11;7;861
"Cork City 17/012";842;8;20;11;881
"Cork City 17/013";1002;71;78;39;1190
"Cork City 17/014";743;67;55;8;873
"Cork City 17/015, 17/124";1673;134;69;9;1885
"Cork City 17/016";905;62;43;19;1029
"Cork City 17/017";736;40;39;4;819
"Cork City 17/018";771;24;43;3;841
"Cork City 17/019";702;32;21;8;763
"Cork City 17/020";868;59;55;6;988
"Cork City 17/021";786;59;58;11;914
"Cork City 17/022";1028;58;39;3;1128
"Cork City 17/023";891;44;36;13;984
"Cork City 17/024";1107;78;59;38;1282
"Cork City 17/025";887;65;23;13;988
"Cork City 17/026";987;69;43;24;1123
"Cork City 17/027";980;67;18;20;1085
"Cork City 17/028";664;38;67;18;787
"Cork City 17/029";682;38;49;11;780
"Cork City 17/030";1085;43;55;8;1191
"Cork City 17/031";1016;106;65;18;1205
"Cork City 17/032";884;47;60;10;1001
"Cork City 17/033";858;19;36;3;916
"Cork City 17/034";679;45;77;15;816
"Cork City 17/035";515;54;87;26;682
"Cork City 17/036";675;37;72;12;796
"Cork City 17/037";940;68;116;30;1154
"Cork City 17/038";576;26;70;12;684
"Cork City 17/039";611;17;25;11;664
"Cork City 17/040";500;48;73;13;634
"Cork City 17/041";545;51;102;17;715
"Cork City 17/042";615;20;22;2;659
"Cork City 17/043";668;8;16;8;700
"Cork City 17/044";1048;15;23;4;1090
"Cork City 17/045";769;20;28;9;826
"Cork City 17/046";751;14;31;2;798
"Cork City 17/047";906;17;50;11;984
"Cork City 17/048";836;21;66;8;931
"Cork City 17/049";668;42;68;13;791
"Cork City 17/050";677;9;21;7;714
"Cork City 17/051";612;12;37;10;671
"Cork City 17/052";605;65;59;12;741
"Cork City 17/053";584;38;56;9;687
"Cork City 17/054";602;39;57;64;762
"Cork City 17/055";420;32;30;32;514
"Cork City 17/056,17/007";1343;86;104;10;1543
"Cork City 17/057";933;44;48;240;1265
"Cork City 17/058";1001;21;46;9;1077
"Cork City 17/059";724;44;25;2;795
"Cork City 17/060";885;17;30;8;940
"Cork City 17/061";981;20;29;9;1039
"Cork City 17/062";812;42;75;14;943
"Cork City 17/063";1087;45;21;20;1173
"Cork City 17/064";675;31;56;7;769
"Cork City 17/065";408;63;100;4;575
"Cork City 17/066";892;90;115;44;1141
"Cork City 17/067";477;64;109;41;691
"Cork City 17/068";473;68;98;6;645
"Cork City 17/069";596;236;233;127;1192
"Cork City 17/070";533;116;135;23;807
"Cork City 17/071";525;110;162;85;882
"Cork City 17/072";357;77;73;31;538
"Cork City 17/073";627;53;105;40;825
"Cork City 17/074";659;63;64;22;808
"Cork City 17/075";926;14;15;13;968
"Cork City 17/076";1206;32;14;3;1255
"Cork City 17/077";1064;24;1;1;1090
"Cork City 17/078";1024;20;5;6;1055
"Cork City 17/079";1109;17;11;20;1157
"Cork City 17/080";772;13;8;28;821
"Cork City 17/081";950;19;5;6;980
"Cork City 17/082";894;8;22;21;945
"Cork City 17/083";756;12;12;7;787
"Cork City 17/084";644;36;21;9;710
"Cork City 17/085";721;29;23;14;787
"Cork City 17/086";786;5;15;12;818
"Cork City 17/087";802;7;20;24;853
"Cork City 17/088";769;18;18;28;833
"Cork City 17/089";672;12;8;17;709
"Cork City 17/090";878;12;5;26;921
"Cork City 17/091";730;24;30;15;799
"Cork City 17/092";626;55;31;6;718
"Cork City 17/093";779;60;120;4;963
"Cork City 17/094";412;31;46;86;575
"Cork City 17/095";689;68;52;26;835
"Cork City 17/096";502;68;135;73;778
"Cork City 17/097";431;91;127;75;724
"Cork City 17/098";552;91;104;56;803
"Cork City 17/099";609;67;134;26;836
"Cork City 17/100";302;114;77;8;501
"Cork City 17/101";433;44;83;11;571
"Cork City 17/102";605;35;67;5;712
"Cork City 17/103";593;44;74;4;715
"Cork City 17/104";460;81;118;23;682
"Cork City 17/105";1433;52;53;9;1547
"Cork City 17/106";1020;27;21;9;1077
"Cork City 17/107";921;31;45;62;1059
"Cork City 17/108";904;27;38;7;976
"Cork City 17/109";857;26;28;12;923
"Cork City 17/110";652;35;26;17;730
"Cork City 17/111";1084;49;30;35;1198
"Cork City 17/112";896;22;36;21;975
"Cork City 17/113";795;60;44;120;1019
"Cork City 17/114";889;51;22;51;1013
"Cork City 17/115";1117;26;24;11;1178
"Cork City 17/116";1115;38;20;42;1215
"Cork City 17/117";992;6;18;11;1027
"Cork City 17/118";714;50;67;0;831
"Cork City 17/119";682;76;27;46;831
"Cork City 17/120";795;6;6;14;821
"Cork City 17/121";981;11;12;17;1021
"Cork City 17/122";1018;27;17;16;1078
"Cork City 17/123";621;61;32;4;718
"Cork City 17/125";892;48;39;2;981
"Cork City 17/126";694;13;30;6;743
"Cork City 17/127";1098;86;83;6;1273
"Cork City 17/128";513;60;145;28;746
"Cork City 17/129";630;53;48;49;780
"Cork City 17/130";975;23;22;11;1031
"Cork City 17/131";563;76;37;5;681
"Cork City 17/132";500;83;78;9;670
"Cork City 17/133";615;45;49;20;729
"Cork City 17/134";620;108;157;63;948
"Cork City 17/135";555;103;126;13;797
"Cork Suburbs 18 ";58131;4152;2509;849;65641
"Cork Suburbs 18/184";914;30;36;5;985
"Cork Suburbs 18/185";852;52;56;8;968
"Cork Suburbs 18/186";1027;60;28;10;1125
"Cork Suburbs 18/187";1012;37;30;13;1092
"Cork Suburbs 18/188";947;79;49;7;1082
"Cork Suburbs 18/189";1011;59;38;9;1117
"Cork Suburbs 18/190";1107;79;33;32;1251
"Cork Suburbs 18/191";1148;124;59;18;1349
"Cork Suburbs 18/192";791;64;44;9;908
"Cork Suburbs 18/193";1044;59;28;6;1137
"Cork Suburbs 18/194";1090;44;25;15;1174
"Cork Suburbs 18/196";803;112;50;6;971
"Cork Suburbs 18/197";1046;64;44;9;1163
"Cork Suburbs 18/198";1009;40;60;2;1111
"Cork Suburbs 18/199";692;73;55;20;840
"Cork Suburbs 18/200";635;78;67;7;787
"Cork Suburbs 18/201";1080;53;42;9;1184
"Cork Suburbs 18/202";963;77;45;19;1104
"Cork Suburbs 18/203";1206;91;41;21;1359
"Cork Suburbs 18/204";951;110;77;21;1159
"Cork Suburbs 18/205";1039;60;64;11;1174
"Cork Suburbs 18/206";924;32;35;4;995
"Cork Suburbs 18/207";909;68;47;21;1045
"Cork Suburbs 18/208";652;128;60;22;862
"Cork Suburbs 18/210";940;27;33;6;1006
"Cork Suburbs 18/211";942;73;42;9;1066
"Cork Suburbs 18/212";1037;61;38;3;1139
"Cork Suburbs 18/213";915;107;43;10;1075
"Cork Suburbs 18/214";977;98;42;11;1128
"Cork Suburbs 18/215";969;245;60;63;1337
"Cork Suburbs 18/220";1033;130;60;47;1270
"Cork Suburbs 18/222";1099;33;37;7;1176
"Cork Suburbs 18/223";1214;84;42;9;1349
"Cork Suburbs 18/225";758;38;41;51;888
"Cork Suburbs 18/226";1140;26;14;19;1199
"Cork Suburbs 18/227";1189;29;20;19;1257
"Cork Suburbs 18/228";1095;21;43;11;1170
"Cork Suburbs 18/229";1065;20;17;23;1125
"Cork Suburbs 18/230";1170;38;41;13;1262
"Cork Suburbs 18/296";946;49;35;14;1044
"Cork Suburbs 18/297";983;62;40;19;1104
"Cork Suburbs 18/298";893;61;44;5;1003
"Cork Suburbs 18/299";1136;96;43;7;1282
"Cork Suburbs 18/300";930;103;36;6;1075
"Cork Suburbs 18/301";767;143;28;15;953
"Cork Suburbs 18/303";1165;46;37;16;1264
"Cork Suburbs 18/304";1081;70;38;7;1196
"Cork Suburbs 18/306";1046;50;49;15;1160
"Cork Suburbs 18/308";1250;32;22;20;1324
"Cork Suburbs 18/316";902;34;21;3;960
"Cork Suburbs 18/317";686;87;39;18;830
"Cork Suburbs 18/322";1029;59;30;16;1134
"Cork Suburbs 18/339";818;76;34;4;932
"Cork Suburbs 18/340";498;99;56;19;672
"Cork Suburbs 18/341";670;106;52;11;839
"Cork Suburbs 18/343";657;29;27;2;715
"Cork Suburbs 18/344";674;71;42;6;793
"Cork Suburbs 18/345";1023;74;52;9;1158
"Cork Suburbs 18/346";489;53;36;6;584
"Cork Suburbs 18/347";905;30;37;17;989
"Cork Suburbs 18/348";1188;19;25;9;1241
"Limerick City and Suburbs  ";77097;5100;3762;1152;87111
"Limerick City 20 ";47069;2613;2168;689;52539
"Limerick City 20/001";974;62;57;7;1100
"Limerick City 20/002";766;27;47;11;851
"Limerick City 20/003";936;15;34;2;987
"Limerick City 20/004";774;58;90;12;934
"Limerick City 20/005";553;116;77;33;779
"Limerick City 20/006";1008;54;23;16;1101
"Limerick City 20/007";707;19;24;10;760
"Limerick City 20/008";870;22;27;16;935
"Limerick City 20/009";926;25;24;2;977
"Limerick City 20/010";749;15;20;2;786
"Limerick City 20/011";776;16;14;5;811
"Limerick City 20/013, 20/012";1596;141;100;56;1893
"Limerick City 20/014";726;92;44;4;866
"Limerick City 20/015";691;5;14;9;719
"Limerick City 20/016";892;16;8;1;917
"Limerick City 20/017";542;14;4;7;567
"Limerick City 20/018";730;21;22;14;787
"Limerick City 20/019";564;5;11;12;592
"Limerick City 20/020";922;8;9;19;958
"Limerick City 20/021";711;14;12;7;744
"Limerick City 20/022";751;3;16;5;775
"Limerick City 20/023";827;6;5;24;862
"Limerick City 20/024";499;24;26;6;555
"Limerick City 20/025";644;96;88;17;845
"Limerick City 20/026";727;55;63;9;854
"Limerick City 20/027";839;22;3;39;903
"Limerick City 20/028";799;31;14;23;867
"Limerick City 20/029";744;37;52;8;841
"Limerick City 20/030";856;24;24;11;915
"Limerick City 20/031";984;93;70;7;1154
"Limerick City 20/032";365;86;52;34;537
"Limerick City 20/033";302;65;68;5;440
"Limerick City 20/034";861;48;64;0;973
"Limerick City 20/035";954;105;73;3;1135
"Limerick City 20/036, 20/037";1719;66;60;12;1857
"Limerick City 20/038";939;30;19;1;989
"Limerick City 20/039";1049;28;30;4;1111
"Limerick City 20/040";772;44;70;22;908
"Limerick City 20/041, 20/042";1465;37;57;12;1571
"Limerick City 20/043";847;36;8;4;895
"Limerick City 20/044";817;8;9;12;846
"Limerick City 20/045";870;18;19;7;914
"Limerick City 20/046";854;25;11;2;892
"Limerick City 20/047";786;16;11;3;816
"Limerick City 20/048";951;8;2;7;968
"Limerick City 20/049";844;26;13;19;902
"Limerick City 20/050";713;42;59;18;832
"Limerick City 20/051";683;50;73;13;819
"Limerick City 20/052";955;77;38;14;1084
"Limerick City 20/053";1089;44;24;6;1163
"Limerick City 20/054";1222;30;35;6;1293
"Limerick City 20/055";866;36;49;6;957
"Limerick City 20/056";471;138;64;26;699
"Limerick City 20/057";774;41;22;25;862
"Limerick City 20/058";669;258;117;13;1057
"Limerick City 20/059";810;29;35;7;881
"Limerick City 20/060";339;86;64;14;503
"Limerick Suburbs 21 ";30028;2487;1594;463;34572
"Limerick Suburbs 21/080";875;13;16;32;936
"Limerick Suburbs 21/081";962;19;25;35;1041
"Limerick Suburbs 21/082";976;29;34;10;1049
"Limerick Suburbs 21/083";810;46;38;10;904
"Limerick Suburbs 21/084";741;44;31;6;822
"Limerick Suburbs 21/086";753;67;29;11;860
"Limerick Suburbs 21/087";1083;77;41;55;1256
"Limerick Suburbs 21/088";951;75;41;10;1077
"Limerick Suburbs 21/089";1063;81;34;4;1182
"Limerick Suburbs 21/090";1016;58;28;5;1107
"Limerick Suburbs 21/091";866;96;36;5;1003
"Limerick Suburbs 21/092";688;148;52;12;900
"Limerick Suburbs 21/093";825;61;35;12;933
"Limerick Suburbs 21/097";1171;49;51;7;1278
"Limerick Suburbs 21/098";1153;56;41;9;1259
"Limerick Suburbs 21/099";863;48;56;3;970
"Limerick Suburbs 21/113";866;123;39;13;1041
"Limerick Suburbs 21/114";624;48;46;12;730
"Limerick Suburbs 21/115";1147;103;171;18;1439
"Limerick Suburbs 21/117";856;89;87;11;1043
"Limerick Suburbs 21/119";833;180;37;35;1085
"Limerick Suburbs 21/120";751;98;51;15;915
"Limerick Suburbs 21/123";654;26;15;2;697
"Limerick Suburbs 21/124";687;36;27;4;754
"Limerick Suburbs 21/125";811;76;29;5;921
"Limerick Suburbs 21/126";791;247;63;26;1127
"Limerick Suburbs 21/127";761;51;51;15;878
"Limerick Suburbs 21/128";504;42;25;10;581
"Limerick Suburbs 21/129";823;88;48;4;963
"Limerick Suburbs 21/130";501;31;20;2;554
"Limerick Suburbs 21/131";838;81;72;7;998
"Limerick Suburbs 21/132";427;45;38;13;523
"Limerick Suburbs 21/133";308;28;60;12;408
"Limerick Suburbs in Clare 16/066";519;19;16;1;555
"Limerick Suburbs in Clare 16/068";894;46;49;12;1001
"Limerick Suburbs in Clare 16/100";647;35;30;3;715
"Limerick Suburbs in Clare 16/113";990;28;32;17;1067
"Waterford City and Suburbs  ";42070;3456;1867;1281;48674
"Waterford City 24 ";39483;3262;1781;1222;45748
"Waterford City 24/001";867;29;23;47;966
"Waterford City 24/002";922;41;13;12;988
"Waterford City 24/003";895;27;19;14;955
"Waterford City 24/005";1009;54;26;15;1104
"Waterford City 24/006, 24/004";1993;182;63;153;2391
"Waterford City 24/007";631;32;26;27;716
"Waterford City 24/008";1161;112;37;13;1323
"Waterford City 24/009";1032;93;59;33;1217
"Waterford City 24/010";901;45;32;7;985
"Waterford City 24/011";902;102;33;17;1054
"Waterford City 24/012";1030;44;24;22;1120
"Waterford City 24/013";944;80;23;30;1077
"Waterford City 24/014";938;90;29;38;1095
"Waterford City 24/015";700;23;26;3;752
"Waterford City 24/016";628;70;52;24;774
"Waterford City 24/018, 24/017";1350;339;131;97;1917
"Waterford City 24/019";742;10;23;12;787
"Waterford City 24/020";974;22;24;17;1037
"Waterford City 24/021";987;16;18;7;1028
"Waterford City 24/022";998;39;32;10;1079
"Waterford City 24/023";840;22;24;9;895
"Waterford City 24/024";705;34;19;25;783
"Waterford City 24/025";313;109;38;73;533
"Waterford City 24/026";533;45;53;82;713
"Waterford City 24/027";536;36;57;23;652
"Waterford City 24/029, 24/028";1802;118;90;28;2038
"Waterford City 24/030";847;118;40;11;1016
"Waterford City 24/031";901;70;61;11;1043
"Waterford City 24/032";709;74;41;10;834
"Waterford City 24/033";801;93;54;41;989
"Waterford City 24/034";650;56;40;6;752
"Waterford City 24/035";952;98;29;35;1114
"Waterford City 24/036";740;27;16;21;804
"Waterford City 24/037";899;101;57;13;1070
"Waterford City 24/038";669;103;59;8;839
"Waterford City 24/039";845;179;68;9;1101
"Waterford City 24/040";861;20;5;24;910
"Waterford City 24/041";767;20;26;17;830
"Waterford City 24/042";760;28;28;4;820
"Waterford City 24/043";507;42;14;13;576
"Waterford City 24/044";630;46;26;58;760
"Waterford City 24/045";815;46;27;6;894
"Waterford City 24/046";638;39;38;19;734
"Waterford City 24/047";452;137;86;46;721
"Waterford City 24/048";836;103;47;12;998
"Waterford City 24/049";871;48;25;20;964
"Waterford Suburbs 07 ";2587;194;86;59;2926
"Waterford Suburbs in Kilkenny 07/048";1072;82;34;26;1214
"Waterford Suburbs in Kilkenny 07/086";724;83;26;16;849
"Waterford Suburbs in Kilkenny 07/087";791;29;26;17;863
"Galway City and Suburbs  ";59083;6152;5439;1740;72414
"Galway City 26 ";59083;6152;5439;1740;72414
"Galway City 26/001";1200;45;26;26;1297
"Galway City 26/002";1152;95;39;44;1330
"Galway City 26/003";847;57;27;22;953
"Galway City 26/004";935;81;58;19;1093
"Galway City 26/005";1148;68;58;20;1294
"Galway City 26/006";887;183;108;6;1184
"Galway City 26/007";841;79;94;8;1022
"Galway City 26/008";629;47;73;31;780
"Galway City 26/009";972;70;90;8;1140
"Galway City 26/010, 26/013";1681;160;140;58;2039
"Galway City 26/011";595;27;24;4;650
"Galway City 26/012";776;38;61;15;890
"Galway City 26/014";732;64;65;56;917
"Galway City 26/015";722;38;45;36;841
"Galway City 26/016";911;13;43;24;991
"Galway City 26/017";990;36;69;18;1113
"Galway City 26/018";835;125;242;56;1258
"Galway City 26/019";653;38;113;64;868
"Galway City 26/020";678;68;104;19;869
"Galway City 26/021";666;81;137;124;1008
"Galway City 26/022";750;55;106;17;928
"Galway City 26/023";521;26;108;21;676
"Galway City 26/024";618;19;51;5;693
"Galway City 26/025";704;36;86;21;847
"Galway City 26/026";552;51;99;36;738
"Galway City 26/027";620;56;97;19;792
"Galway City 26/028";720;40;75;13;848
"Galway City 26/029";645;59;73;12;789
"Galway City 26/030";712;38;57;19;826
"Galway City 26/031";1102;68;86;33;1289
"Galway City 26/032";786;32;17;5;840
"Galway City 26/033";780;88;47;3;918
"Galway City 26/034";810;68;62;13;953
"Galway City 26/035";808;80;78;8;974
"Galway City 26/036";783;55;59;15;912
"Galway City 26/037";759;70;67;26;922
"Galway City 26/038";701;79;125;21;926
"Galway City 26/040";980;94;68;29;1171
"Galway City 26/041, 26/039";1405;106;117;16;1644
"Galway City 26/042";530;148;125;51;854
"Galway City 26/043";876;131;95;12;1114
"Galway City 26/044";961;95;63;19;1138
"Galway City 26/045";902;94;56;7;1059
"Galway City 26/046";784;100;52;4;940
"Galway City 26/047";761;85;86;21;953
"Galway City 26/048";885;47;46;12;990
"Galway City 26/049";811;129;47;19;1006
"Galway City 26/050";1010;134;40;3;1187
"Galway City 26/051";993;227;213;61;1494
"Galway City 26/052, 26/065";904;54;89;82;1129
"Galway City 26/053";802;103;98;73;1076
"Galway City 26/054";756;56;68;3;883
"Galway City 26/055";745;170;88;14;1017
"Galway City 26/056";636;197;78;15;926
"Galway City 26/057";918;57;56;11;1042
"Galway City 26/058";681;69;62;5;817
"Galway City 26/059";744;14;38;19;815
"Galway City 26/060";731;97;44;21;893
"Galway City 26/061";1172;76;33;36;1317
"Galway City 26/062";773;106;75;17;971
"Galway City 26/063";775;80;75;11;941
"Galway City 26/064";760;62;84;7;913
"Galway City 26/066";930;51;33;45;1059
"Galway City 26/067";526;94;109;18;747
"Galway City 26/068";602;97;93;22;814
"Galway City 26/069";476;37;54;13;580
"Galway City 26/070";884;125;47;17;1073
"Galway City 26/071";656;141;82;5;884
"Galway City 26/072";782;115;44;19;960
"Galway City 26/073";591;238;48;13;890
"Galway City 26/074";685;150;42;23;900
"Galway City 26/075";601;141;42;21;805
"Galway City 26/076";834;99;40;31;1004
