"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Dún Laoghaire-Rathdown 05/114";1062;47;8;15;1132
"Dún Laoghaire-Rathdown 05/115";1057;49;4;17;1127
"Dún Laoghaire-Rathdown 05/116";1027;68;3;29;1127
"Dún Laoghaire-Rathdown 05/117";1089;41;4;30;1164
"Dún Laoghaire-Rathdown 05/118";1526;88;16;18;1648
"Dún Laoghaire-Rathdown 05/119";995;50;15;36;1096
"Dún Laoghaire-Rathdown 05/121";1025;65;16;35;1141
"Dún Laoghaire-Rathdown 05/122";1160;66;23;41;1290
"Dún Laoghaire-Rathdown 05/123";878;68;11;46;1003
"Dún Laoghaire-Rathdown 05/126";881;44;14;21;960
"Dún Laoghaire-Rathdown 05/127";976;103;30;47;1156
"Dún Laoghaire-Rathdown 05/128";768;70;17;36;891
"Dún Laoghaire-Rathdown 05/129";850;26;7;16;899
"Dún Laoghaire-Rathdown 05/130";661;50;32;49;792
"Dún Laoghaire-Rathdown 05/131";964;36;4;24;1028
"Dún Laoghaire-Rathdown 05/132";1071;45;12;18;1146
"Dún Laoghaire-Rathdown 05/133";663;73;12;44;792
"Dún Laoghaire-Rathdown 05/134";830;39;3;17;889
"Dún Laoghaire-Rathdown 05/135";903;29;4;12;948
"Dún Laoghaire-Rathdown 05/136";889;45;8;10;952
"Dún Laoghaire-Rathdown 05/137";1010;32;5;19;1066
"Dún Laoghaire-Rathdown 05/138";852;30;9;21;912
"Dún Laoghaire-Rathdown 05/139";910;20;4;15;949
"Dún Laoghaire-Rathdown 05/140";904;22;7;14;947
"Dún Laoghaire-Rathdown 05/141";887;36;7;12;942
"Dún Laoghaire-Rathdown 05/142";804;48;3;14;869
"Dún Laoghaire-Rathdown 05/143";809;42;13;15;879
"Dún Laoghaire-Rathdown 05/144";851;46;10;22;929
"Dún Laoghaire-Rathdown 05/145";816;47;15;27;905
"Dún Laoghaire-Rathdown 05/146";856;43;8;21;928
"Dún Laoghaire-Rathdown 05/147";842;62;14;22;940
"Dún Laoghaire-Rathdown 05/148";887;36;3;16;942
"Dún Laoghaire-Rathdown 05/149";627;27;2;11;667
"Dún Laoghaire-Rathdown 05/150";927;36;7;19;989
"Dún Laoghaire-Rathdown 05/151";783;33;8;18;842
"Dún Laoghaire-Rathdown 05/152";1047;44;4;4;1099
"Dún Laoghaire-Rathdown 05/153";847;41;7;9;904
"Dún Laoghaire-Rathdown 05/154";934;37;6;9;986
"Dún Laoghaire-Rathdown 05/155";815;65;23;18;921
"Dún Laoghaire-Rathdown 05/156";817;31;8;9;865
"Dún Laoghaire-Rathdown 05/157";748;57;10;12;827
"Dún Laoghaire-Rathdown 05/158";564;42;9;14;629
"Dún Laoghaire-Rathdown 05/159";740;51;10;32;833
"Dún Laoghaire-Rathdown 05/160";821;56;16;26;919
"Dún Laoghaire-Rathdown 05/161";770;20;13;9;812
"Dún Laoghaire-Rathdown 05/162";790;67;10;26;893
"Dún Laoghaire-Rathdown 05/163";885;106;32;56;1079
"Dún Laoghaire-Rathdown 05/164";640;122;37;31;830
"Dún Laoghaire-Rathdown 05/165";627;59;15;19;720
"Dún Laoghaire-Rathdown 05/166";801;92;41;32;966
"Dún Laoghaire-Rathdown 05/167";767;56;6;44;873
"Dún Laoghaire-Rathdown 05/168";917;58;8;22;1005
"Dún Laoghaire-Rathdown 05/169";845;14;6;2;867
"Dún Laoghaire-Rathdown 05/170";666;36;11;21;734
"Dún Laoghaire-Rathdown 05/173";992;25;14;12;1043
"Dún Laoghaire-Rathdown 05/174";972;82;11;18;1083
"Dún Laoghaire-Rathdown 05/175";701;83;13;37;834
"Dún Laoghaire-Rathdown 05/176";816;71;6;28;921
"Dún Laoghaire-Rathdown 05/177, 05/178";1427;244;114;146;1931
"Dún Laoghaire-Rathdown 05/179";830;59;8;26;923
"Dún Laoghaire-Rathdown 05/180";543;125;33;76;777
"Dún Laoghaire-Rathdown 05/181";149;117;16;17;299
"Dún Laoghaire-Rathdown 05/182";579;49;11;27;666
"Dún Laoghaire-Rathdown 05/184";958;55;11;16;1040
"Dún Laoghaire-Rathdown 05/185";978;94;15;39;1126
"Dún Laoghaire-Rathdown 05/186";928;31;11;15;985
"Dún Laoghaire-Rathdown 05/187";833;46;16;2;897
"Dún Laoghaire-Rathdown 05/188";873;65;9;45;992
"Dún Laoghaire-Rathdown 05/189";1024;32;11;71;1138
"Dún Laoghaire-Rathdown 05/190";1024;59;5;23;1111
"Dún Laoghaire-Rathdown 05/191";1089;74;23;39;1225
"Dún Laoghaire-Rathdown 05/192";783;41;12;32;868
"Dún Laoghaire-Rathdown 05/193";380;182;32;37;631
"Dún Laoghaire-Rathdown 05/194";820;43;14;21;898
"Dún Laoghaire-Rathdown 05/196";343;63;9;14;429
"Dún Laoghaire-Rathdown 05/197";292;133;39;81;545
"Dún Laoghaire-Rathdown 05/198";386;467;69;84;1006
"Dún Laoghaire-Rathdown 05/200";322;88;11;18;439
"Dún Laoghaire-Rathdown 05/201";628;56;8;23;715
"Dún Laoghaire-Rathdown 05/202";336;195;46;59;636
"Dún Laoghaire-Rathdown 05/203";569;82;14;33;698
"Dún Laoghaire-Rathdown 05/204";784;143;25;38;990
"Dún Laoghaire-Rathdown 05/205";420;298;39;21;778
"Cork City and Suburbs  ";157620;12381;2847;6877;179725
"Cork City 17 ";101056;8259;1942;4755;116012
"Cork City 17/001";696;46;10;17;769
"Cork City 17/002";680;44;13;24;761
"Cork City 17/003";687;48;11;35;781
"Cork City 17/004";550;104;36;84;774
"Cork City 17/005";778;52;26;47;903
"Cork City 17/006, 17/008";1714;42;4;12;1772
"Cork City 17/009";987;20;2;5;1014
"Cork City 17/010";784;37;4;10;835
"Cork City 17/011";831;19;3;1;854
"Cork City 17/012";843;16;2;5;866
"Cork City 17/013";955;106;25;55;1141
"Cork City 17/014";711;79;24;48;862
"Cork City 17/015, 17/124";1639;111;29;68;1847
"Cork City 17/016";942;52;4;18;1016
"Cork City 17/017";748;28;3;25;804
"Cork City 17/018";793;19;4;12;828
"Cork City 17/019";727;10;6;9;752
"Cork City 17/020";872;61;10;17;960
"Cork City 17/021";770;49;19;47;885
"Cork City 17/022";1052;35;4;18;1109
"Cork City 17/023";892;57;9;7;965
"Cork City 17/024";1044;129;27;38;1238
"Cork City 17/025";936;31;5;6;978
"Cork City 17/026";1041;44;9;10;1104
"Cork City 17/027";997;55;3;9;1064
"Cork City 17/028";731;30;5;9;775
"Cork City 17/029";654;79;5;25;763
"Cork City 17/030";999;148;8;18;1173
"Cork City 17/031";1007;68;17;46;1138
"Cork City 17/032";890;59;16;23;988
"Cork City 17/033";840;41;9;18;908
"Cork City 17/034";641;80;24;36;781
"Cork City 17/035";517;68;17;61;663
"Cork City 17/036";712;44;9;20;785
"Cork City 17/037";864;135;46;83;1128
"Cork City 17/038";566;50;16;33;665
"Cork City 17/039";622;22;4;10;658
"Cork City 17/040";482;67;19;48;616
"Cork City 17/041";517;77;12;90;696
"Cork City 17/042";598;37;0;15;650
"Cork City 17/043";663;26;1;7;697
"Cork City 17/044";1020;40;2;12;1074
"Cork City 17/045";785;22;2;9;818
"Cork City 17/046";703;41;16;24;784
"Cork City 17/047";834;59;33;34;960
"Cork City 17/048";791;64;11;44;910
"Cork City 17/049";577;91;22;70;760
"Cork City 17/050";684;14;2;6;706
"Cork City 17/051";608;31;10;17;666
"Cork City 17/052";599;80;10;32;721
"Cork City 17/053";524;117;15;20;676
"Cork City 17/054";553;123;30;23;729
"Cork City 17/055";386;73;21;20;500
"Cork City 17/056,17/007";1258;151;38;62;1509
"Cork City 17/057";1079;109;24;36;1248
"Cork City 17/058";982;48;20;18;1068
"Cork City 17/059";706;44;14;25;789
"Cork City 17/060";768;107;22;31;928
"Cork City 17/061";907;81;17;26;1031
"Cork City 17/062";719;113;45;36;913
"Cork City 17/063";1018;92;19;24;1153
"Cork City 17/064";527;133;68;18;746
"Cork City 17/065";349;63;26;76;514
"Cork City 17/066";690;238;62;75;1065
"Cork City 17/067";492;86;38;41;657
"Cork City 17/068";430;115;24;58;627
"Cork City 17/069";542;151;30;147;870
"Cork City 17/070";457;144;37;123;761
"Cork City 17/071";481;172;29;147;829
"Cork City 17/072";357;48;12;69;486
"Cork City 17/073";690;38;11;51;790
"Cork City 17/074";609;103;16;63;791
"Cork City 17/075";892;25;15;13;945
"Cork City 17/076";1199;25;4;13;1241
"Cork City 17/077";1028;29;1;3;1061
"Cork City 17/078";919;115;0;1;1035
"Cork City 17/079";1110;13;0;2;1125
"Cork City 17/080";804;9;0;5;818
"Cork City 17/081";941;13;1;5;960
"Cork City 17/082";908;23;1;4;936
"Cork City 17/083";749;24;4;4;781
"Cork City 17/084";641;43;2;20;706
"Cork City 17/085";696;50;9;23;778
"Cork City 17/086";783;14;2;7;806
"Cork City 17/087";817;21;0;8;846
"Cork City 17/088";800;22;0;2;824
"Cork City 17/089";664;17;1;15;697
"Cork City 17/090";884;22;2;2;910
"Cork City 17/091";698;42;2;42;784
"Cork City 17/092";602;33;12;50;697
"Cork City 17/093";635;133;34;141;943
"Cork City 17/094";511;24;4;26;565
"Cork City 17/095";695;54;5;50;804
"Cork City 17/096";448;79;35;137;699
"Cork City 17/097";492;82;9;77;660
"Cork City 17/098";680;56;15;31;782
"Cork City 17/099";610;69;20;88;787
"Cork City 17/100";247;54;12;73;386
"Cork City 17/101";495;34;6;16;551
"Cork City 17/102";606;41;11;40;698
"Cork City 17/103";620;25;12;47;704
"Cork City 17/104";451;74;10;87;622
"Cork City 17/105";1358;90;23;30;1501
"Cork City 17/106";1025;20;7;15;1067
"Cork City 17/107";941;51;10;39;1041
"Cork City 17/108";910;41;2;9;962
"Cork City 17/109";855;29;8;19;911
"Cork City 17/110";697;23;2;3;725
"Cork City 17/111";1142;35;1;0;1178
"Cork City 17/112";911;41;4;11;967
"Cork City 17/113";905;59;12;18;994
"Cork City 17/114";928;51;1;9;989
"Cork City 17/115";1088;33;6;30;1157
"Cork City 17/116";1143;36;4;8;1191
"Cork City 17/117";978;24;4;12;1018
"Cork City 17/118";601;133;15;56;805
"Cork City 17/119";705;32;21;32;790
"Cork City 17/120";786;20;0;5;811
"Cork City 17/121";994;13;1;3;1011
"Cork City 17/122";976;48;9;30;1063
"Cork City 17/123";533;70;26;62;691
"Cork City 17/125";904;33;15;14;966
"Cork City 17/126";657;60;12;8;737
"Cork City 17/127";823;252;101;39;1215
"Cork City 17/128";434;131;18;125;708
"Cork City 17/129";648;53;18;38;757
"Cork City 17/130";958;42;4;13;1017
"Cork City 17/131";566;48;12;31;657
"Cork City 17/132";448;106;25;66;645
"Cork City 17/133";572;43;15;67;697
"Cork City 17/134";490;108;24;243;865
"Cork City 17/135";358;153;87;82;680
"Cork Suburbs 18 ";56564;4122;905;2122;63713
"Cork Suburbs 18/184";840;92;8;19;959
"Cork Suburbs 18/185";854;58;12;19;943
"Cork Suburbs 18/186";933;123;6;46;1108
"Cork Suburbs 18/187";983;48;11;22;1064
"Cork Suburbs 18/188";955;63;5;32;1055
"Cork Suburbs 18/189";923;102;12;53;1090
"Cork Suburbs 18/190";1170;46;4;12;1232
"Cork Suburbs 18/191";1081;85;26;58;1250
"Cork Suburbs 18/192";830;35;3;21;889
"Cork Suburbs 18/193";1049;34;3;28;1114
"Cork Suburbs 18/194";1049;64;6;37;1156
"Cork Suburbs 18/196";822;72;8;42;944
"Cork Suburbs 18/197";1114;24;4;12;1154
"Cork Suburbs 18/198";1017;16;7;43;1083
"Cork Suburbs 18/199";697;65;13;39;814
"Cork Suburbs 18/200";554;99;41;58;752
"Cork Suburbs 18/201";1089;50;13;20;1172
"Cork Suburbs 18/202";941;75;22;28;1066
"Cork Suburbs 18/203";1251;66;12;11;1340
"Cork Suburbs 18/204";1007;70;13;24;1114
"Cork Suburbs 18/205";1040;58;11;23;1132
"Cork Suburbs 18/206";921;40;8;8;977
"Cork Suburbs 18/207";881;87;14;37;1019
"Cork Suburbs 18/208";620;110;23;75;828
"Cork Suburbs 18/210";945;16;8;17;986
"Cork Suburbs 18/211";944;37;26;35;1042
"Cork Suburbs 18/212";1040;56;8;25;1129
"Cork Suburbs 18/213";917;66;30;33;1046
"Cork Suburbs 18/214";946;76;18;53;1093
"Cork Suburbs 18/215";1007;83;25;128;1243
"Cork Suburbs 18/220";1040;61;14;70;1185
"Cork Suburbs 18/222";1096;27;8;30;1161
"Cork Suburbs 18/223";1228;52;12;28;1320
"Cork Suburbs 18/225";712;62;16;32;822
"Cork Suburbs 18/226";1163;6;2;5;1176
"Cork Suburbs 18/227";1193;22;4;21;1240
"Cork Suburbs 18/228";1065;40;12;15;1132
"Cork Suburbs 18/229";960;119;3;10;1092
"Cork Suburbs 18/230";1154;57;5;21;1237
"Cork Suburbs 18/296";958;51;6;18;1033
"Cork Suburbs 18/297";907;102;10;44;1063
"Cork Suburbs 18/298";876;56;12;28;972
"Cork Suburbs 18/299";1164;37;10;28;1239
"Cork Suburbs 18/300";832;150;23;31;1036
"Cork Suburbs 18/301";741;74;57;53;925
"Cork Suburbs 18/303";1055;109;16;31;1211
"Cork Suburbs 18/304";1064;58;18;26;1166
"Cork Suburbs 18/306";976;117;14;16;1123
"Cork Suburbs 18/308";1216;50;6;29;1301
"Cork Suburbs 18/316";873;40;7;7;927
"Cork Suburbs 18/317";518;152;64;67;801
"Cork Suburbs 18/322";1009;60;9;21;1099
"Cork Suburbs 18/339";763;75;9;48;895
"Cork Suburbs 18/340";390;120;38;90;638
"Cork Suburbs 18/341";616;85;38;71;810
"Cork Suburbs 18/343";548;89;5;41;683
"Cork Suburbs 18/344";622;43;26;69;760
"Cork Suburbs 18/345";988;89;10;36;1123
"Cork Suburbs 18/346";396;89;31;43;559
"Cork Suburbs 18/347";851;65;19;27;962
"Cork Suburbs 18/348";1170;49;1;8;1228
"Limerick City and Suburbs  ";71343;6567;2965;3667;84542
"Limerick City 20 ";44685;3168;1219;2131;51203
"Limerick City 20/001";960;67;30;20;1077
"Limerick City 20/002";784;30;14;6;834
"Limerick City 20/003";920;34;5;12;971
"Limerick City 20/004";619;81;84;113;897
"Limerick City 20/005";471;82;28;127;708
"Limerick City 20/006";940;70;26;35;1071
"Limerick City 20/007";679;35;23;5;742
"Limerick City 20/008";841;52;5;8;906
"Limerick City 20/009";895;45;5;9;954
"Limerick City 20/010";754;13;6;5;778
"Limerick City 20/011";743;37;5;4;789
"Limerick City 20/013, 20/012";1487;105;33;202;1827
"Limerick City 20/014";679;64;24;78;845
"Limerick City 20/015";678;31;2;3;714
"Limerick City 20/016";870;15;11;2;898
"Limerick City 20/017";515;35;0;5;555
"Limerick City 20/018";729;35;3;6;773
"Limerick City 20/019";543;33;2;0;578
"Limerick City 20/020";905;35;1;3;944
"Limerick City 20/021";698;28;3;0;729
"Limerick City 20/022";728;30;6;3;767
"Limerick City 20/023";819;24;2;5;850
"Limerick City 20/024";427;66;39;17;549
"Limerick City 20/025";545;98;47;140;830
"Limerick City 20/026";703;81;30;27;841
"Limerick City 20/027";861;24;0;2;887
"Limerick City 20/028";796;38;15;6;855
"Limerick City 20/029";641;106;24;44;815
"Limerick City 20/030";855;21;11;15;902
"Limerick City 20/031";844;144;103;40;1131
"Limerick City 20/032";318;69;27;69;483
"Limerick City 20/033";294;46;27;44;411
"Limerick City 20/034";793;66;46;46;951
"Limerick City 20/035";993;69;19;23;1104
"Limerick City 20/036, 20/037";1710;47;35;29;1821
"Limerick City 20/038";893;36;30;12;971
"Limerick City 20/039";945;107;18;26;1096
"Limerick City 20/040";709;70;35;32;846
"Limerick City 20/041, 20/042";1427;69;20;36;1552
"Limerick City 20/043";837;45;4;1;887
"Limerick City 20/044";814;15;4;0;833
"Limerick City 20/045";846;31;10;8;895
"Limerick City 20/046";855;18;3;2;878
"Limerick City 20/047";770;26;1;7;804
"Limerick City 20/048";944;8;1;1;954
"Limerick City 20/049";853;24;7;4;888
"Limerick City 20/050";617;57;25;105;804
"Limerick City 20/051";635;85;34;47;801
"Limerick City 20/052";903;73;27;45;1048
"Limerick City 20/053";1059;44;18;8;1129
"Limerick City 20/054";1171;70;20;15;1276
"Limerick City 20/055";649;144;77;60;930
"Limerick City 20/056";486;73;44;75;678
"Limerick City 20/057";750;45;14;37;846
"Limerick City 20/058";453;127;48;332;960
"Limerick City 20/059";727;88;19;19;853
"Limerick City 20/060";305;57;19;106;487
"Limerick Suburbs 21 ";26658;3399;1746;1536;33339
"Limerick Suburbs 21/080";851;49;7;6;913
"Limerick Suburbs 21/081";796;130;95;12;1033
"Limerick Suburbs 21/082";963;52;13;12;1040
"Limerick Suburbs 21/083";797;42;25;24;888
"Limerick Suburbs 21/084";688;69;21;24;802
"Limerick Suburbs 21/086";740;35;30;37;842
"Limerick Suburbs 21/087";1069;95;29;36;1229
"Limerick Suburbs 21/088";915;58;34;52;1059
"Limerick Suburbs 21/089";1016;83;31;23;1153
"Limerick Suburbs 21/090";981;53;17;31;1082
"Limerick Suburbs 21/091";828;59;35;62;984
"Limerick Suburbs 21/092";700;79;38;45;862
"Limerick Suburbs 21/093";727;103;38;39;907
"Limerick Suburbs 21/097";1102;80;35;29;1246
"Limerick Suburbs 21/098";1158;37;34;14;1243
"Limerick Suburbs 21/099";642;182;72;60;956
"Limerick Suburbs 21/113";779;116;39;44;978
"Limerick Suburbs 21/114";511;97;42;48;698
"Limerick Suburbs 21/115";654;302;195;88;1239
"Limerick Suburbs 21/117";470;271;130;114;985
"Limerick Suburbs 21/119";776;145;59;61;1041
"Limerick Suburbs 21/120";696;88;43;42;869
"Limerick Suburbs 21/123";512;130;36;14;692
"Limerick Suburbs 21/124";600;67;37;29;733
"Limerick Suburbs 21/125";650;121;42;59;872
"Limerick Suburbs 21/126";684;95;88;167;1034
"Limerick Suburbs 21/127";691;78;35;36;840
"Limerick Suburbs 21/128";471;61;21;13;566
"Limerick Suburbs 21/129";792;54;25;52;923
"Limerick Suburbs 21/130";361;131;33;14;539
"Limerick Suburbs 21/131";604;168;76;106;954
"Limerick Suburbs 21/132";326;81;40;48;495
"Limerick Suburbs 21/133";144;117;65;41;367
"Limerick Suburbs in Clare 16/066";489;20;32;5;546
"Limerick Suburbs in Clare 16/068";911;10;35;21;977
"Limerick Suburbs in Clare 16/100";559;32;85;18;694
"Limerick Suburbs in Clare 16/113";1005;9;34;10;1058
"Waterford City and Suburbs  ";41776;2754;1431;1320;47281
"Waterford City 24 ";39381;2661;1174;1231;44447
"Waterford City 24/001";781;91;36;21;929
"Waterford City 24/002";922;38;5;11;976
"Waterford City 24/003";914;23;4;4;945
"Waterford City 24/005";1014;38;21;9;1082
"Waterford City 24/006, 24/004";2091;138;41;35;2305
"Waterford City 24/007";603;55;15;24;697
"Waterford City 24/008";1192;49;22;17;1280
"Waterford City 24/009";966;110;35;36;1147
"Waterford City 24/010";889;46;23;4;962
"Waterford City 24/011";918;47;14;44;1023
"Waterford City 24/012";1033;42;7;12;1094
"Waterford City 24/013";982;54;7;7;1050
"Waterford City 24/014";884;124;26;26;1060
"Waterford City 24/015";696;14;16;19;745
"Waterford City 24/016";620;50;29;63;762
"Waterford City 24/018, 24/017";1251;211;87;130;1679
"Waterford City 24/019";737;27;9;8;781
"Waterford City 24/020";954;34;23;17;1028
"Waterford City 24/021";949;37;15;11;1012
"Waterford City 24/022";982;47;17;19;1065
"Waterford City 24/023";840;23;13;9;885
"Waterford City 24/024";730;14;14;16;774
"Waterford City 24/025";412;44;14;38;508
"Waterford City 24/026";562;70;39;30;701
"Waterford City 24/027";555;46;21;21;643
"Waterford City 24/029, 24/028";1641;168;122;63;1994
"Waterford City 24/030";931;49;12;11;1003
"Waterford City 24/031";958;34;7;26;1025
"Waterford City 24/032";753;25;19;25;822
"Waterford City 24/033";814;72;40;47;973
"Waterford City 24/034";648;37;28;15;728
"Waterford City 24/035";923;89;30;33;1075
"Waterford City 24/036";776;11;6;2;795
"Waterford City 24/037";937;59;17;32;1045
"Waterford City 24/038";652;50;38;77;817
"Waterford City 24/039";874;88;63;46;1071
"Waterford City 24/040";875;21;1;7;904
"Waterford City 24/041";768;38;7;10;823
"Waterford City 24/042";715;41;11;41;808
"Waterford City 24/043";534;24;9;2;569
"Waterford City 24/044";630;59;34;17;740
"Waterford City 24/045";842;28;8;6;884
"Waterford City 24/046";498;117;55;29;699
"Waterford City 24/047";418;77;49;79;623
"Waterford City 24/048";843;67;45;19;974
"Waterford City 24/049";874;35;20;13;942
"Waterford Suburbs 07 ";2395;93;257;89;2834
"Waterford Suburbs in Kilkenny 07/048";974;56;125;29;1184
"Waterford Suburbs in Kilkenny 07/086";687;21;81;32;821
"Waterford Suburbs in Kilkenny 07/087";734;16;51;28;829
"Galway City and Suburbs  ";54223;7619;2942;4125;68909
"Galway City 26 ";54223;7619;2942;4125;68909
"Galway City 26/001";1190;46;7;24;1267
"Galway City 26/002";1078;153;19;43;1293
"Galway City 26/003";798;64;16;40;918
"Galway City 26/004";778;142;41;109;1070
"Galway City 26/005";1177;58;16;22;1273
"Galway City 26/006";794;106;57;130;1087
"Galway City 26/007";661;135;44;95;935
"Galway City 26/008";534;108;43;66;751
"Galway City 26/009";913;98;55;57;1123
"Galway City 26/010, 26/013";1484;175;66;123;1848
"Galway City 26/011";557;47;9;25;638
"Galway City 26/012";724;57;37;51;869
"Galway City 26/014";587;156;76;69;888
"Galway City 26/015";690;78;36;18;822
"Galway City 26/016";838;93;16;30;977
"Galway City 26/017";916;74;44;53;1087
"Galway City 26/018";602;206;99;180;1087
"Galway City 26/019";557;125;67;63;812
"Galway City 26/020";525;160;60;85;830
"Galway City 26/021";545;168;63;85;861
"Galway City 26/022";630;129;49;57;865
"Galway City 26/023";493;100;24;46;663
"Galway City 26/024";630;28;10;19;687
"Galway City 26/025";651;86;30;51;818
"Galway City 26/026";507;92;47;56;702
"Galway City 26/027";549;97;34;75;755
"Galway City 26/028";696;83;14;29;822
"Galway City 26/029";553;68;33;89;743
"Galway City 26/030";745;29;22;15;811
"Galway City 26/031";989;152;44;51;1236
"Galway City 26/032";771;38;8;7;824
"Galway City 26/033";727;124;12;37;900
"Galway City 26/034";532;188;128;31;879
"Galway City 26/035";763;90;30;63;946
"Galway City 26/036";671;107;53;52;883
"Galway City 26/037";764;52;28;36;880
"Galway City 26/038";800;64;11;19;894
"Galway City 26/040";865;90;25;41;1021
"Galway City 26/041, 26/039";1242;144;64;103;1553
"Galway City 26/042";458;105;52;144;759
"Galway City 26/043";843;112;44;86;1085
"Galway City 26/044";963;81;41;29;1114
"Galway City 26/045";926;80;9;27;1042
"Galway City 26/046";842;33;18;22;915
"Galway City 26/047";852;61;14;12;939
"Galway City 26/048";882;41;36;4;963
"Galway City 26/049";814;79;23;45;961
"Galway City 26/050";989;63;27;77;1156
"Galway City 26/051";735;223;92;128;1178
"Galway City 26/052, 26/065";850;130;46;59;1085
"Galway City 26/053";689;122;44;128;983
"Galway City 26/054";690;64;68;52;874
"Galway City 26/055";770;105;51;44;970
"Galway City 26/056";670;95;51;67;883
"Galway City 26/057";885;65;17;19;986
"Galway City 26/058";684;64;26;25;799
"Galway City 26/059";723;56;8;21;808
"Galway City 26/060";669;97;35;58;859
"Galway City 26/061";902;213;86;26;1227
"Galway City 26/062";798;87;25;30;940
"Galway City 26/063";686;98;29;104;917
"Galway City 26/064";441;231;93;69;834
"Galway City 26/066";854;79;31;59;1023
"Galway City 26/067";467;99;38;61;665
"Galway City 26/068";480;146;74;94;794
"Galway City 26/069";468;61;27;14;570
"Galway City 26/070";925;58;34;26;1043
"Galway City 26/071";729;67;18;27;841
"Galway City 26/072";723;139;35;25;922
"Galway City 26/073";535;146;67;109;857
"Galway City 26/074";495;228;42;98;863
"Galway City 26/075";593;96;42;46;777
"Galway City 26/076";667;185;62;45;959
